Результат при  t_j = 3.0
setka	    q	        u	         q - u
1.40000000	101.95996375	101.96000000	-0.00003625
1.45000000	102.10246300	102.10250000	-0.00003700
1.50000000	102.24996325	102.25000000	-0.00003675
1.55000000	102.40246439	102.40250000	-0.00003561
1.60000000	102.55996629	102.56000000	-0.00003371
1.65000000	102.72246887	102.72250000	-0.00003113
1.70000000	102.88997203	102.89000000	-0.00002797
1.75000000	103.06247572	103.06250000	-0.00002428
1.80000000	103.23997986	103.24000000	-0.00002014
1.85000000	103.42248441	103.42250000	-0.00001559
1.90000000	103.60998931	103.61000000	-0.00001069
1.95000000	103.80249452	103.80250000	-0.00000548
2.00000000	104.00000000	104.00000000	0.00000000
Норма погрешности решения: 0.00011367837777121025

